sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రధాని ఢిల్లీలో జరిగిన సమావేశంలో పాల్గొన్నారు.	-55.98531560866668	-55.985317277839194	-55.98531560866668
ఐటీ విభాగం హైదరాబాద్లో భారీ సంఖ్యలో ఉద్యోగాలను సృష్టించింది.	-83.97797257841236	-83.9779742475828	-83.97797257841236
క్రికెట్ జట్టు వచ్చే ఆటకు సిద్ధంగా ఉందని కెప్టెన్ ప్రకటించారు.	-97.97430106328625	-97.97430273245877	-97.97430106328625
బజాట్లో విద్యా రంగానికి కేటాయింపులు పెరిగాయి.	-55.98531393949278	-55.98531393949278	-55.98531393949278
రాష్ట్ర ప్రభుత్వం కొత్త సిలబస్ను రద్దు చేసింది.	-69.28860206602081	-68.88324377020933	-69.28860206602081
ప్రపంచ ఆర్థిక వ్యవస్థపై అంతర్జాతీయ నిపుణులు ఆందోళన వ్యక్తం చేశారు.	-92.55418328405018	-91.4604243345052	-92.55418328405018
పోలీసులు నగరంలో భద్రతా ఏర్పాట్లను మరింత బలోపేతం చేశారు.	-83.9779717438261	-83.97797257841236	-83.9779717438261
న్యాయవాదులు హైకోర్టు ముందు నూతన చట్టానికి వ్యతిరేకంగా నిరసన వ్యక్తం చేశారు.	-108.67490784938558	-108.00056962660831	-108.67490784938558
కోవిడ్-19 వ్యాధిని నియంత్రించడానికి ప్రభుత్వం కఠినమైన మార్గదర్శకాలను జారీ చేసింది.	-96.36488401528149	-95.77711988347485	-96.36488401528149
కరోనా సమయంలో వైద్య సిబ్బంది బాధ్యతాయుతంగా పని చేశారు.	-83.2848763064641	-82.87946377371084	-83.2848763064641
రైతులు ఉత్పత్తి చేసిన పంటలకు మంచి ధరలు లభించడం చాలా అవసరం.	-111.9706287135725	-111.97062954815874	-111.9706287135725
సుప్రీంకోర్టు న్యాయమూర్తి గ్రామీణ ప్రాంతాల్లో న్యాయ సేవల పరిధిని విస్తరించాలని సూచించారు.	-111.9706303827443	-111.9706328864968	-111.9706303827443
రాష్ట్రంలోని అన్ని జిల్లాల్లో భారీ వర్షాలు కురిశాయి.	-66.80367372094409	-65.38669282612634	-66.80367372094409
నదుల్లో నీటి స్థాయి పెరగడంతో ప్రభుత్వం అత్యవసర హెచ్చరికలు జారీ చేసింది.	-108.75182799867785	-108.07895946422879	-108.75182799867785
విపక్ష నేత ప్రభుత్వం చేసిన నిర్ణయాలపై తీవ్ర విమర్శలు చేశారు.	-94.9786622592913	-94.3109280170109	-94.9786622592913
ఆర్బిఐ వడ్డీ రేట్లను మార్చదు అని ప్రకటించింది.	-69.98164325895293	-69.98164409353917	-69.98164325895293
ఆంధ్రప్రదేశ్ మరియు తెలంగాణ రాష్ట్రాల మధ్య నీటి బకాయిలపై చర్చలు జరిగాయి.	-111.27751241253337	-110.87207901811367	-111.27751241253337
ప్రభుత్వం గ్రామీణ ఉద్యోగ హామీ పథకం క్రింద పని దినాలను పెంచింది.	-111.97062787898554	-111.97062787898554	-111.97062787898554
ప్రముఖ సాంస్కృతిక సంస్థ వార్షికోత్సవాన్ని ఢాంగీగా జరుపుకుంది.	-69.98164325895293	-69.98164409353917	-69.98164325895293
శాసనసభ సదస్సు రెండు వారాల పాటు వాయిదా వేయబడింది.	-82.36863815043584	-81.78095663042737	-82.36863815043584
ప్రభుత్వం పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టాలని ప్రణాళిక రూపొందించింది.	-97.97429939411235	-97.97429939411235	-97.97429939411235
అంతరిక్ష సంస్థ తన కొత్త ఉపగ్రహాన్ని విజయవంతంగా ప్రక్షేపించింది.	-83.97797424758488	-83.97797758592364	-83.97797424758488
రాష్ట్ర రవాణా సంస్థ ఇలెక్ట్రిక్ బస్సులను పరిచయం చేసింది.	-83.97797424758488	-83.97797758592364	-83.97797424758488
మహిళా సాధికారతకు సంబంధించిన బిల్లుపై సంసద్లో చర్చ జరిగింది.	-83.97797257841236	-83.9779742475828	-83.97797257841236
రాష్ట్ర ప్రభుత్వం పేదలకు ఉచిత ఆవాసయోజనను ప్రారంభించింది.	-69.98174173532327	-69.98184103641887	-69.98174173532327
ప్రధాన మంత్రి కార్యాలయం నుండి నూతన ప్రకటన వెలువడింది.	-83.28488214881445	-82.87947545888996	-83.28488214881445
రాష్ట్రంలోని అన్ని పాఠశాలల్లో శుభ్రతా కార్యక్రమం నిర్వహించబడుతుంది.	-69.98166412346166	-69.98168582220909	-69.98166412346166
కేంద్ర మంత్రి రాష్ట్ర పర్యటనను రద్దు చేశారు.	-69.98172337644124	-69.98180432273124	-69.98172337644124
ఆస్ట్రేలియా క్రికెట్ జట్టు భారత్ పర్యటన కోసం వచ్చింది.	-83.28483541287495	-82.8793819889096	-83.28483541287495
రైతుల ఆందోళనకు రాష్ట్ర ప్రభుత్వం సమాధానం ఇవ్వాలని హైకోర్టు ఆదేశించింది.	-96.5880142134357	-96.0284076059094	-96.5880142134357
నగరంలో కొత్తగా మల్టీస్పెషాలిటీ హాస్పిటల్ ప్రారంభించబడింది.	-55.98531393949278	-55.98531393949278	-55.98531393949278
రాష్ట్ర ప్రభుత్వం ఉపాధి హామీ పథకం క్రింద వేతనాలను పెంచింది.	-97.28131662040863	-96.87601590547429	-97.28131662040863
ప్రభుత్వం ప్రకటించిన కొత్త విధానాలపై రాజకీయ పార్టీలు తమ ప్రతిక్రియలను తెలిపాయి.	-111.97065375095053	-111.97067962243281	-111.97065375095053
ఆర్థిక సంవత్సరం మొదటి త్రైమాసికంలో జిడిపి వృద్ధి రేటు మెరుగుపడింది.	-95.2017599121754	-94.16773538425188	-95.2017599121754
ప్రభుత్వం పేద వర్గాల కోసం ఆహార పంపిణీ విధానాన్ని మార్చింది.	-97.97429939411235	-97.97429939411235	-97.97429939411235
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ లైబ్రరీలు స్థాపించబడతాయి.	-69.28852278497625	-68.88308521761692	-69.28852278497625
కేంద్ర బడ్జెట్ లో రక్షణ దళాలకు అదనపు నిధులు కేటాయించబడ్డాయి.	-95.33533219781096	-94.67864279050683	-95.33533219781096
రాష్ట్రంలో సాగు భూమి విస్తీర్ణం గత వత్సరం కంటే పెరిగింది.	-97.97430106328625	-97.97430273245877	-97.97430106328625
ప్రభుత్వం ఉన్నత విద్యలో గుణాత్మక మార్పులను తీసుకువచ్చే లక్ష్యాన్ని నిర్దేశించుకుంది.	-97.9743002286993	-97.97430106328555	-97.9743002286993
నగరంలో అతిపెద్ద సోలార్ ప్లాంట్ ప్రారంభించబడింది.	-55.98531477407973	-55.985315608665985	-55.98531477407973
