sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రధాని ఢిల్లీలో జరిగిన సమావేశంలో పాల్గొన్నారు.	-55.58618903458168	-52.49280094784777	-55.58618903458168
ఐటీ విభాగం హైదరాబాద్లో భారీ సంఖ్యలో ఉద్యోగాలను సృష్టించింది.	-92.12883959121854	-89.32311412740623	-92.12883959121854
క్రికెట్ జట్టు వచ్చే ఆటకు సిద్ధంగా ఉందని కెప్టెన్ ప్రకటించారు.	-100.22910461818572	-96.73421603148819	-100.22910461818572
బజాట్లో విద్యా రంగానికి కేటాయింపులు పెరిగాయి.	-74.48377684118805	-72.45680789803949	-74.48377684118805
రాష్ట్ర ప్రభుత్వం కొత్త సిలబస్ను రద్దు చేసింది.	-63.97544335900455	-60.53171876966452	-63.97544335900455
ప్రపంచ ఆర్థిక వ్యవస్థపై అంతర్జాతీయ నిపుణులు ఆందోళన వ్యక్తం చేశారు.	-78.69067802834472	-73.22886471246471	-78.69067802834472
పోలీసులు నగరంలో భద్రతా ఏర్పాట్లను మరింత బలోపేతం చేశారు.	-84.27976962750077	-80.27925935410411	-84.27976962750077
న్యాయవాదులు హైకోర్టు ముందు నూతన చట్టానికి వ్యతిరేకంగా నిరసన వ్యక్తం చేశారు.	-101.54134141812858	-96.02723816044262	-101.54134141812858
కోవిడ్-19 వ్యాధిని నియంత్రించడానికి ప్రభుత్వం కఠినమైన మార్గదర్శకాలను జారీ చేసింది.	-101.84062145979384	-98.45511076434704	-101.84062145979384
కరోనా సమయంలో వైద్య సిబ్బంది బాధ్యతాయుతంగా పని చేశారు.	-74.67652681892842	-71.01007044437299	-74.67652681892842
రైతులు ఉత్పత్తి చేసిన పంటలకు మంచి ధరలు లభించడం చాలా అవసరం.	-113.83374736662623	-109.44230362089827	-113.83374736662623
సుప్రీంకోర్టు న్యాయమూర్తి గ్రామీణ ప్రాంతాల్లో న్యాయ సేవల పరిధిని విస్తరించాలని సూచించారు.	-115.20231205647879	-110.98669433789794	-115.20231205647879
రాష్ట్రంలోని అన్ని జిల్లాల్లో భారీ వర్షాలు కురిశాయి.	-64.27780624531515	-59.84077225064867	-64.27780624531515
నదుల్లో నీటి స్థాయి పెరగడంతో ప్రభుత్వం అత్యవసర హెచ్చరికలు జారీ చేసింది.	-109.40345980556374	-104.36343746901623	-109.40345980556374
విపక్ష నేత ప్రభుత్వం చేసిన నిర్ణయాలపై తీవ్ర విమర్శలు చేశారు.	-91.78302885738884	-88.11119789655928	-91.78302885738884
ఆర్బిఐ వడ్డీ రేట్లను మార్చదు అని ప్రకటించింది.	-80.9381411726475	-78.2698665385933	-80.9381411726475
ఆంధ్రప్రదేశ్ మరియు తెలంగాణ రాష్ట్రాల మధ్య నీటి బకాయిలపై చర్చలు జరిగాయి.	-105.15225384750974	-100.18332083178738	-105.15225384750974
ప్రభుత్వం గ్రామీణ ఉద్యోగ హామీ పథకం క్రింద పని దినాలను పెంచింది.	-117.3907534922269	-113.24134735031336	-117.3907534922269
ప్రముఖ సాంస్కృతిక సంస్థ వార్షికోత్సవాన్ని ఢాంగీగా జరుపుకుంది.	-84.49927330557777	-82.31121950417152	-84.49927330557777
శాసనసభ సదస్సు రెండు వారాల పాటు వాయిదా వేయబడింది.	-88.67552058785401	-84.77458736962467	-88.67552058785401
ప్రభుత్వం పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టాలని ప్రణాళిక రూపొందించింది.	-108.92513051265112	-105.52892990908285	-108.92513051265112
అంతరిక్ష సంస్థ తన కొత్త ఉపగ్రహాన్ని విజయవంతంగా ప్రక్షేపించింది.	-94.58195644244881	-91.70607610289393	-94.58195644244881
రాష్ట్ర రవాణా సంస్థ ఇలెక్ట్రిక్ బస్సులను పరిచయం చేసింది.	-80.62347933320993	-77.55865759244594	-80.62347933320993
మహిళా సాధికారతకు సంబంధించిన బిల్లుపై సంసద్లో చర్చ జరిగింది.	-90.17790494942759	-87.27885598585692	-90.17790494942759
రాష్ట్ర ప్రభుత్వం పేదలకు ఉచిత ఆవాసయోజనను ప్రారంభించింది.	-72.6488932273982	-69.6320893405217	-72.6488932273982
ప్రధాన మంత్రి కార్యాలయం నుండి నూతన ప్రకటన వెలువడింది.	-81.94065755501991	-77.67271937939597	-81.94065755501991
రాష్ట్రంలోని అన్ని పాఠశాలల్లో శుభ్రతా కార్యక్రమం నిర్వహించబడుతుంది.	-81.25189750840097	-78.87648431282672	-81.25189750840097
కేంద్ర మంత్రి రాష్ట్ర పర్యటనను రద్దు చేశారు.	-63.617055695395145	-59.97610881720848	-63.617055695395145
ఆస్ట్రేలియా క్రికెట్ జట్టు భారత్ పర్యటన కోసం వచ్చింది.	-77.92401151401613	-72.96880185700215	-77.92401151401613
రైతుల ఆందోళనకు రాష్ట్ర ప్రభుత్వం సమాధానం ఇవ్వాలని హైకోర్టు ఆదేశించింది.	-87.96430020736773	-82.88900601563671	-87.96430020736773
నగరంలో కొత్తగా మల్టీస్పెషాలిటీ హాస్పిటల్ ప్రారంభించబడింది.	-74.12583585965997	-72.07895295427097	-74.12583585965997
రాష్ట్ర ప్రభుత్వం ఉపాధి హామీ పథకం క్రింద వేతనాలను పెంచింది.	-91.81569947292812	-87.09063818874174	-91.81569947292812
ప్రభుత్వం ప్రకటించిన కొత్త విధానాలపై రాజకీయ పార్టీలు తమ ప్రతిక్రియలను తెలిపాయి.	-110.56326121299712	-106.87293979700061	-110.56326121299712
ఆర్థిక సంవత్సరం మొదటి త్రైమాసికంలో జిడిపి వృద్ధి రేటు మెరుగుపడింది.	-92.74312410143168	-87.67754535985715	-92.74312410143168
ప్రభుత్వం పేద వర్గాల కోసం ఆహార పంపిణీ విధానాన్ని మార్చింది.	-103.41335893878404	-98.42611717925985	-103.41335893878404
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ లైబ్రరీలు స్థాపించబడతాయి.	-81.82613417363102	-79.69933121931466	-81.82613417363102
కేంద్ర బడ్జెట్ లో రక్షణ దళాలకు అదనపు నిధులు కేటాయించబడ్డాయి.	-98.1039925874308	-94.04426600926152	-98.1039925874308
రాష్ట్రంలో సాగు భూమి విస్తీర్ణం గత వత్సరం కంటే పెరిగింది.	-106.67077420182747	-103.40599517810168	-106.67077420182747
