sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రధాని ఢిల్లీలో జరిగిన సమావేశంలో పాల్గొన్నారు.	-65.26395629984316	-63.77870987299254	-65.26395629984316
ఐటీ విభాగం హైదరాబాద్లో భారీ సంఖ్యలో ఉద్యోగాలను సృష్టించింది.	-96.87624035522379	-96.36596781810837	-96.87624035522379
క్రికెట్ జట్టు వచ్చే ఆటకు సిద్ధంగా ఉందని కెప్టెన్ ప్రకటించారు.	-110.58490598927395	-109.77454813353552	-110.58490598927395
బజాట్లో విద్యా రంగానికి కేటాయింపులు పెరిగాయి.	-69.28850692799062	-68.88305350399183	-69.28850692799062
రాష్ట్ర ప్రభుత్వం కొత్త సిలబస్ను రద్దు చేసింది.	-72.99997564447911	-70.99015316506623	-72.99997564447911
ప్రపంచ ఆర్థిక వ్యవస్థపై అంతర్జాతీయ నిపుణులు ఆందోళన వ్యక్తం చేశారు.	-90.56081759520605	-87.22532559205833	-90.56081759520605
పోలీసులు నగరంలో భద్రతా ఏర్పాట్లను మరింత బలోపేతం చేశారు.	-96.18301057630347	-95.26719038425273	-96.18301057630347
న్యాయవాదులు హైకోర్టు ముందు నూతన చట్టానికి వ్యతిరేకంగా నిరసన వ్యక్తం చేశారు.	-110.02715409010833	-107.43415866756462	-110.02715409010833
కోవిడ్-19 వ్యాధిని నియంత్రించడానికి ప్రభుత్వం కఠినమైన మార్గదర్శకాలను జారీ చేసింది.	-102.27575449841382	-100.91041734016021	-102.27575449841382
కరోనా సమయంలో వైద్య సిబ్బంది బాధ్యతాయుతంగా పని చేశారు.	-87.4109014306875	-85.02311348719127	-87.4109014306875
రైతులు ఉత్పత్తి చేసిన పంటలకు మంచి ధరలు లభించడం చాలా అవసరం.	-120.94352814125874	-119.85196873876018	-120.94352814125874
సుప్రీంకోర్టు న్యాయమూర్తి గ్రామీణ ప్రాంతాల్లో న్యాయ సేవల పరిధిని విస్తరించాలని సూచించారు.	-124.58109093167612	-124.02190397484287	-124.58109093167612
రాష్ట్రంలోని అన్ని జిల్లాల్లో భారీ వర్షాలు కురిశాయి.	-67.52990958187102	-63.64691615857381	-67.52990958187102
నదుల్లో నీటి స్థాయి పెరగడంతో ప్రభుత్వం అత్యవసర హెచ్చరికలు జారీ చేసింది.	-115.08276594202582	-113.70512682403594	-115.08276594202582
విపక్ష నేత ప్రభుత్వం చేసిన నిర్ణయాలపై తీవ్ర విమర్శలు చేశారు.	-100.97057242761419	-99.00668999276203	-100.97057242761419
ఆర్బిఐ వడ్డీ రేట్లను మార్చదు అని ప్రకటించింది.	-81.67554354412357	-80.68244948075215	-81.67554354412357
ఆంధ్రప్రదేశ్ మరియు తెలంగాణ రాష్ట్రాల మధ్య నీటి బకాయిలపై చర్చలు జరిగాయి.	-115.00171800004635	-112.00148183264915	-115.00171800004635
ప్రభుత్వం గ్రామీణ ఉద్యోగ హామీ పథకం క్రింద పని దినాలను పెంచింది.	-125.96743116847163	-125.96790582203727	-125.96743116847163
ప్రముఖ సాంస్కృతిక సంస్థ వార్షికోత్సవాన్ని ఢాంగీగా జరుపుకుంది.	-83.2859064535876	-82.88152293318966	-83.2859064535876
శాసనసభ సదస్సు రెండు వారాల పాటు వాయిదా వేయబడింది.	-90.48390441866711	-89.13452547567779	-90.48390441866711
ప్రభుత్వం పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టాలని ప్రణాళిక రూపొందించింది.	-111.27788289609238	-110.87281983890153	-111.27788289609238
అంతరిక్ష సంస్థ తన కొత్త ఉపగ్రహాన్ని విజయవంతంగా ప్రక్షేపించింది.	-95.8951950002147	-94.93045120099112	-95.8951950002147
రాష్ట్ర రవాణా సంస్థ ఇలెక్ట్రిక్ బస్సులను పరిచయం చేసింది.	-92.31396455405456	-90.67234508403169	-92.31396455405456
మహిళా సాధికారతకు సంబంధించిన బిల్లుపై సంసద్లో చర్చ జరిగింది.	-93.26515640546924	-92.07517639421047	-93.26515640546924
రాష్ట్ర ప్రభుత్వం పేదలకు ఉచిత ఆవాసయోజనను ప్రారంభించింది.	-79.19409897276107	-78.5087390524456	-79.19409897276107
ప్రధాన మంత్రి కార్యాలయం నుండి నూతన ప్రకటన వెలువడింది.	-87.38254986487262	-84.96083841371083	-87.38254986487262
రాష్ట్రంలోని అన్ని పాఠశాలల్లో శుభ్రతా కార్యక్రమం నిర్వహించబడుతుంది.	-79.2334543641414	-77.97491492626634	-79.2334543641414
కేంద్ర మంత్రి రాష్ట్ర పర్యటనను రద్దు చేశారు.	-72.91327924330912	-70.53193566711575	-72.91327924330912
ఆస్ట్రేలియా క్రికెట్ జట్టు భారత్ పర్యటన కోసం వచ్చింది.	-92.71737650069961	-90.67227420358472	-92.71737650069961
రైతుల ఆందోళనకు రాష్ట్ర ప్రభుత్వం సమాధానం ఇవ్వాలని హైకోర్టు ఆదేశించింది.	-103.69275707158354	-101.32391105749379	-103.69275707158354
నగరంలో కొత్తగా మల్టీస్పెషాలిటీ హాస్పిటల్ ప్రారంభించబడింది.	-69.9817500809316	-69.98185772710636	-69.9817500809316
రాష్ట్ర ప్రభుత్వం ఉపాధి హామీ పథకం క్రింద వేతనాలను పెంచింది.	-100.79010501316476	-98.4534846777146	-100.79010501316476
ప్రభుత్వం ప్రకటించిన కొత్త విధానాలపై రాజకీయ పార్టీలు తమ ప్రతిక్రియలను తెలిపాయి.	-120.36956660897792	-118.70289163198157	-120.36956660897792
ఆర్థిక సంవత్సరం మొదటి త్రైమాసికంలో జిడిపి వృద్ధి రేటు మెరుగుపడింది.	-99.94995614883852	-96.74521876602051	-99.94995614883852
ప్రభుత్వం పేద వర్గాల కోసం ఆహార పంపిణీ విధానాన్ని మార్చింది.	-111.27791043729604	-110.87287492095435	-111.27791043729604
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ లైబ్రరీలు స్థాపించబడతాయి.	-78.35809745338022	-77.03686892465052	-78.35809745338022
కేంద్ర బడ్జెట్ లో రక్షణ దళాలకు అదనపు నిధులు కేటాయించబడ్డాయి.	-102.97640132262795	-101.10150964527605	-102.97640132262795
రాష్ట్రంలో సాగు భూమి విస్తీర్ణం గత వత్సరం కంటే పెరిగింది.	-110.58530952387626	-109.7753543925874	-110.58530952387626
ప్రభుత్వం ఉన్నత విద్యలో గుణాత్మక మార్పులను తీసుకువచ్చే లక్ష్యాన్ని నిర్దేశించుకుంది.	-111.27788623431132	-110.87282651507894	-111.27788623431132
నగరంలో అతిపెద్ద సోలార్ ప్లాంట్ ప్రారంభించబడింది.	-69.28860874245734	-68.88325712255876	-69.28860874245734
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఆస్పత్రుల్లో మూడు షిఫ్ట్లలో వైద్య సేవలు అందించబడతాయి.	-117.25632168511204	-114.90420332809424	-117.25632168511204
ప్రధాని ఆరోగ్య యోజన క్రింద లక్షలాది మంది ప్రయోజనం పొందుతున్నారు.	-110.17967695626926	-109.26419443394033	-110.17967695626926
రాష్ట్రంలోని పట్టణ ప్రాంతాల్లో మౌసూన్ సెషన్ సమయంలో భారీ వర్షాలు కురిశాయి.	-118.74994844555839	-116.61667265209124	-118.74994844555839
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్ర పోలీసు దళం సైబర్ క్రైమ్ నివారణ కోసం ప్రత్యేక యూనిట్ ఏర్పాటు చేసింది.	-147.37418500588632	-145.77100823781285	-147.37418500588632
ఆహార్ పథకం క్రింద లక్షలాది మందికి అన్నపూర్ణా కార్డులు జారీ చేయబడ్డాయి.	-124.86843587837419	-124.35770205495291	-124.86843587837419
రాష్ట్ర ప్రభుత్వం పంటల బీమా పథకాన్ని విస్తరించింది.	-76.42155782078446	-74.70217170077582	-76.42155782078446
గ్రామ సచివాలయాల్లో డిజిటల్ సదుపాయాలు అందించబడతాయి.	-68.59590709467088	-68.0368500542279	-68.59590709467088
రాష్ట్రంలోని అన్ని జిల్లాల్లో స్మార్ట్ క్లాస్ రూమ్స్ ఏర్పాటు చేయబడతాయి.	-105.65761475384228	-103.9309286282598	-105.65761475384228
ప్రభుత్వం పారిశ్రామికీకరణను ప్రోత్సహించడానికి నూతన విధానాన్ని ప్రకటించింది.	-83.97836309189316	-83.97875512786736	-83.97836309189316
రాష్ట్రంలోని అన్ని మహిళా కళాశాలల్లో సెల్ఫ్ డిఫెన్స్ శిక్షణ ఇవ్వబడుతుంది.	-108.83554256974048	-108.16478312042018	-108.83554256974048
